Y	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48
-6,7	902,48	1,23	160,44	114,25	36,85	4,35	16310,67	195,68	76,31	289,08	-0,04	1,47	0,28	3,06	0,90	1,00	1,14	1,11	995,11	0,96	0,09	13,00	37,06	0,83	0,94	0,95	7295,32	3,32	16,81	181,11	20510,31	2396,43	8795,77	5,00	14,59	2,89	24,08	7,09	266,30	5,32	25,86	7,67	-0,01	-0,22	-0,13	13,67	1,79	2,86
-4,96	901,86	1,19	159,77	114,49	37,53	4,38	16311,96	195,28	75,38	289,54	-0,04	1,47	0,28	3,05	0,90	0,99	1,14	1,11	999,85	0,96	0,09	12,68	36,88	0,83	0,93	0,96	7300,77	3,32	16,71	180,54	20563,12	2451,94	8724,26	5,08	14,92	2,91	24,18	7,07	264,26	5,38	25,79	7,59	-0,01	-0,23	-0,14	13,66	1,74	2,89
-4,78	898,57	1,24	160,17	113,95	37,66	4,38	16278,78	196,12	77,39	287,72	-0,04	1,47	0,28	3,06	0,91	0,99	1,12	1,09	1003,58	0,96	0,09	13,00	36,87	0,86	0,93	0,96	7336,14	3,33	16,70	180,78	20600,61	2444,19	8766,30	4,94	14,51	2,84	24,05	7,14	271,78	5,22	25,39	7,53	-0,01	-0,21	-0,13	13,69	1,74	2,90
-3,07	904,64	1,30	160,81	114,19	37,57	4,36	16483,34	198,60	77,62	297,91	-0,04	1,46	0,29	3,06	0,90	1,01	1,13	1,10	1017,89	0,96	0,09	12,99	37,17	0,84	0,92	0,96	7427,32	3,33	16,88	181,21	20849,89	2433,51	8945,88	5,02	14,69	2,86	24,45	7,26	277,68	5,35	26,36	7,92	-0,01	-0,22	-0,13	14,02	1,76	2,95
-2,77	899,04	1,21	159,96	114,18	37,57	4,39	16246,14	194,32	75,43	290,51	-0,04	1,47	0,28	3,06	0,90	0,99	1,13	1,10	995,53	0,96	0,09	12,74	36,91	0,84	0,93	0,97	7277,24	3,34	16,70	180,79	20500,16	2436,30	8713,27	5,01	14,66	2,85	23,98	7,03	263,80	5,32	25,64	7,57	-0,01	-0,23	-0,14	13,52	1,71	2,86
-2,46	903,49	1,24	160,13	114,25	37,52	4,38	16412,88	196,19	76,64	294,88	-0,04	1,47	0,28	3,06	0,90	1,00	1,13	1,10	1009,58	0,96	0,09	12,90	36,96	0,84	0,92	0,97	7364,92	3,33	16,74	180,81	20686,17	2436,22	8833,19	5,03	14,73	2,86	24,24	7,14	269,85	5,45	26,50	7,86	-0,01	-0,23	-0,14	13,94	1,76	2,92
-2,31	903,72	1,26	160,30	122,44	37,29	4,35	16391,72	197,08	75,80	293,23	-0,03	1,47	0,28	3,05	0,90	1,00	1,13	1,10	1008,59	0,96	0,09	12,97	36,99	0,83	0,94	0,96	7362,39	3,33	16,75	180,71	20707,32	2442,58	8834,31	4,95	14,58	2,86	24,03	7,12	269,57	5,26	25,68	7,64	-0,01	-0,23	-0,14	13,83	1,76	2,95
-2,27	901,83	1,22	160,08	114,45	37,54	4,39	16377,77	195,39	76,08	292,63	-0,04	1,47	0,28	3,06	0,90	0,99	1,13	1,10	1007,96	0,96	0,09	12,82	36,94	0,84	0,92	0,98	7341,75	3,34	16,71	180,79	20704,77	2443,04	8832,42	5,01	14,67	2,86	24,16	7,12	268,05	5,35	26,04	7,73	-0,01	-0,23	-0,14	13,73	1,71	2,95
-2,2	902,40	1,28	161,06	113,91	37,60	4,33	16362,49	197,73	77,34	293,95	-0,04	1,47	0,29	3,06	0,90	1,01	1,12	1,10	1011,03	0,96	0,09	13,21	37,20	0,84	0,91	0,97	7385,07	3,33	16,90	181,65	20752,44	2411,83	8912,24	4,88	14,33	2,79	24,08	7,21	275,53	5,18	25,72	7,73	-0,01	-0,23	-0,14	13,79	1,74	2,95
-2,15	905,79	1,19	160,56	114,53	37,48	4,36	16374,92	195,51	75,20	292,63	-0,03	1,47	0,28	3,06	0,90	1,01	1,13	1,10	1008,99	0,96	0,09	12,96	36,99	0,84	0,90	0,98	7338,31	3,34	16,81	181,25	20660,66	2432,06	8825,16	5,14	15,13	2,96	24,45	7,14	265,61	5,44	25,91	7,57	-0,01	-0,24	-0,14	13,80	1,79	2,98
-1,89	901,38	1,26	160,59	114,20	37,57	4,36	16367,30	198,42	77,03	295,25	-0,04	1,47	0,28	3,06	0,91	1,00	1,11	1,09	1009,26	0,96	0,09	12,99	37,04	0,85	0,93	0,98	7368,59	3,34	16,78	181,21	20731,39	2435,63	8863,10	4,97	14,56	2,84	24,19	7,18	272,73	5,27	25,87	7,72	-0,01	-0,24	-0,14	13,79	1,74	2,92
-1,46	901,41	1,26	160,60	114,20	37,57	4,36	16369,31	198,55	77,04	297,01	-0,04	1,47	0,28	3,06	0,91	1,00	1,12	1,09	1009,96	0,96	0,09	12,99	37,04	0,85	0,93	0,98	7371,34	3,34	16,78	181,22	20737,90	2435,44	8870,10	4,97	14,56	2,84	24,19	7,19	273,43	5,27	25,90	7,75	-0,01	-0,23	-0,14	13,80	1,74	2,92
-1,06	902,84	1,28	160,28	123,95	38,02	4,37	16367,55	197,19	76,12	294,13	-0,04	1,47	0,28	3,05	0,91	1,00	1,12	1,10	1015,40	0,96	0,09	12,94	37,03	0,85	0,91	0,98	7388,92	3,33	16,75	180,79	20803,91	2469,30	8845,64	4,92	14,54	2,81	24,07	7,18	274,78	5,22	25,75	7,73	-0,01	-0,23	-0,14	13,80	1,69	2,98
-0,98	901,40	1,26	160,60	114,20	37,57	4,36	16369,33	198,43	76,98	296,39	-0,04	1,47	0,28	3,06	0,91	1,00	1,11	1,09	1009,66	0,96	0,09	12,99	37,04	0,85	0,93	0,98	7370,39	3,34	16,78	181,21	20736,00	2435,67	8866,88	4,97	14,56	2,84	24,20	7,18	272,84	5,26	25,89	7,74	-0,01	-0,23	-0,14	13,80	1,74	2,92
-0,96	904,07	1,25	160,33	114,69	37,52	4,35	16456,44	198,73	76,38	295,00	-0,04	1,47	0,28	3,05	0,90	1,00	1,13	1,10	1013,22	0,96	0,09	12,90	36,94	0,84	0,92	0,98	7392,50	3,34	16,76	181,03	20802,34	2458,90	8867,56	5,09	15,02	2,95	24,48	7,20	270,34	5,37	25,93	7,66	-0,01	-0,22	-0,13	13,98	1,79	2,98
-0,57	902,42	1,26	160,54	113,82	37,59	4,36	16301,04	197,67	76,81	291,06	-0,04	1,47	0,28	3,06	0,90	1,00	1,13	1,10	1001,59	0,96	0,09	13,00	37,15	0,85	0,92	0,96	7348,54	3,32	16,83	181,16	20594,24	2423,79	8796,76	4,94	14,52	2,84	24,07	7,15	272,38	5,22	25,48	7,58	-0,01	-0,24	-0,14	13,73	1,79	2,89
-0,45	902,13	1,23	160,19	114,21	37,56	4,39	16338,28	196,55	76,48	291,80	-0,04	1,47	0,28	3,06	0,90	1,00	1,13	1,10	1003,63	0,96	0,09	12,86	37,03	0,85	0,92	0,97	7345,20	3,34	16,74	180,85	20637,05	2434,55	8804,41	4,97	14,58	2,85	24,10	7,13	269,66	5,27	25,72	7,65	-0,01	-0,23	-0,14	13,73	1,76	2,92
-0,45	901,80	1,26	160,54	126,57	37,76	4,35	16356,30	196,38	76,32	293,20	-0,04	1,47	0,28	3,07	0,90	1,00	1,13	1,11	1006,34	0,96	0,09	13,00	37,08	0,84	0,91	0,98	7351,92	3,33	16,85	181,34	20663,19	2421,64	8846,44	4,95	14,47	2,82	24,17	7,20	274,98	5,28	26,01	7,79	-0,01	-0,23	-0,14	13,80	1,71	2,89
-0,45	902,26	1,24	160,38	114,41	37,58	4,37	16357,12	196,31	76,11	292,26	-0,04	1,47	0,28	3,06	0,89	1,00	1,14	1,11	1005,80	0,96	0,09	12,83	37,05	0,83	0,92	0,96	7346,89	3,32	16,82	181,10	20681,58	2441,05	8822,10	5,03	14,70	2,88	24,34	7,17	269,10	5,32	25,86	7,64	-0,01	-0,24	-0,14	13,76	1,74	2,92
-0,38	901,41	1,26	160,60	114,20	37,57	4,36	16368,91	198,45	76,99	296,60	-0,04	1,47	0,28	3,06	0,91	1,00	1,11	1,09	1009,58	0,96	0,09	12,99	37,04	0,85	0,93	0,98	7370,13	3,34	16,78	181,21	20735,30	2435,49	8867,41	4,97	14,56	2,84	24,19	7,18	273,04	5,26	25,90	7,75	-0,01	-0,23	-0,14	13,80	1,74	2,92
-0,38	902,57	1,26	160,57	120,97	37,78	4,35	16382,38	196,73	76,82	293,91	-0,04	1,47	0,28	3,06	0,90	1,00	1,12	1,10	1009,81	0,96	0,09	13,03	37,12	0,84	0,91	0,99	7371,92	3,33	16,81	181,28	20728,22	2430,13	8872,46	4,96	14,52	2,83	24,21	7,20	274,79	5,29	26,04	7,80	-0,01	-0,23	-0,14	13,83	1,74	2,92
-0,27	901,46	1,25	160,34	114,20	37,57	4,36	16310,04	195,22	76,09	290,68	-0,04	1,47	0,28	3,06	0,90	0,99	1,14	1,11	1001,99	0,96	0,09	12,95	37,02	0,84	0,91	0,98	7324,21	3,33	16,78	181,25	20618,92	2429,38	8803,73	5,04	14,74	2,87	24,25	7,13	268,65	5,34	25,87	7,65	-0,01	-0,23	-0,14	13,68	1,71	2,92
-0,24	902,15	1,21	160,12	114,25	37,56	4,35	16275,87	196,44	75,72	288,75	-0,04	1,47	0,28	3,05	0,89	1,00	1,14	1,11	997,69	0,96	0,09	12,80	36,99	0,83	0,93	0,95	7304,88	3,31	16,80	180,85	20520,99	2441,16	8718,18	5,02	14,78	2,89	24,14	7,09	266,38	5,30	25,55	7,53	-0,01	-0,23	-0,13	13,67	1,76	2,86
-0,15	905,04	1,23	160,30	105,61	37,06	4,37	16279,93	196,59	77,07	289,25	-0,03	1,47	0,28	3,06	0,90	1,00	1,13	1,10	995,97	0,96	0,09	12,97	37,02	0,84	0,93	0,97	7298,23	3,33	16,76	180,99	20555,39	2414,94	8788,54	4,90	14,23	2,76	23,79	7,05	266,79	5,21	25,61	7,66	-0,01	-0,21	-0,12	13,61	1,70	2,87
-0,15	899,98	1,26	160,71	113,91	37,60	4,36	16307,75	197,03	76,86	293,79	-0,03	1,47	0,28	3,06	0,91	1,00	1,12	1,09	1005,80	0,96	0,09	13,04	37,10	0,85	0,93	0,97	7344,94	3,34	16,82	181,20	20644,70	2420,51	8836,21	4,88	14,30	2,80	23,88	7,13	272,92	5,20	25,54	7,66	-0,01	-0,23	-0,14	13,69	1,74	2,90
-0,08	901,88	1,23	160,57	109,77	37,85	4,37	16364,19	197,19	77,36	293,42	-0,04	1,47	0,28	3,06	0,90	1,01	1,12	1,10	1010,87	0,96	0,09	12,96	37,10	0,84	0,90	0,99	7372,32	3,33	16,82	181,32	20735,33	2438,81	8860,85	4,99	14,63	2,85	24,24	7,18	270,87	5,30	25,74	7,61	-0,01	-0,25	-0,15	13,79	1,75	2,95
